file_path,num_pages
/content/ia024-projeto-rag/0-downloaded-files/2-boituva/portarias/2014/02 - Fevereiro/Fev_Port_489_Alterar servidores Comissão_BTV.pdf,1
/content/ia024-projeto-rag/0-downloaded-files/2-boituva/portarias/2014/05 - Maio/Mai_Port_2136_Calendário_EAD_2014_2_ANEXOI.pdf,1
/content/ia024-projeto-rag/0-downloaded-files/2-boituva/portarias/2014/05 - Maio/Mai_Port_2136_Calendário_EAD_2014_2_BTV.pdf,2
/content/ia024-projeto-rag/0-downloaded-files/2-boituva/portarias/2014/05 - Maio/Mai_Port_2059_Designa membros do Conselho de Campus_BTV.pdf,1
/content/ia024-projeto-rag/0-downloaded-files/2-boituva/portarias/2014/05 - Maio/Mai_Port_2381-14_comissao cpa.pdf,4
/content/ia024-projeto-rag/0-downloaded-files/2-boituva/portarias/2014/08 - Agosto/Ago_Port_4252_Horario de funcionamento do Campus Boituva_BTV.pdf,2
/content/ia024-projeto-rag/0-downloaded-files/2-boituva/portarias/2014/08 - Agosto/Ago_Port_3814_Fiscalização_Fiscais para o contrato da cancela automática_BTV.pdf,1
/content/ia024-projeto-rag/0-downloaded-files/2-boituva/portarias/2014/08 - Agosto/Ago_Port_4250_Comissão Local da Estatuinte_BTV.pdf,1
/content/ia024-projeto-rag/0-downloaded-files/2-boituva/portarias/2014/08 - Agosto/Ago_Port_4251_Membros da Conformidade_BTV.pdf,1
/content/ia024-projeto-rag/0-downloaded-files/2-boituva/portarias/2014/08 - Agosto/Ago_Port_3815_Fiscalização_Fiscais para o contrato do toldo_BTV.pdf,1
/content/ia024-projeto-rag/0-downloaded-files/2-boituva/portarias/2014/08 - Agosto/Ago_Port_3731_Fiscalização_Fiscais para o contrato da cantina_BTV.pdf,1
/content/ia024-projeto-rag/0-downloaded-files/2-boituva/portarias/2014/08 - Agosto/Ago_Port_4164_Subcomissão Eleitoral do Conselho Superior_BTV.pdf,1
/content/ia024-projeto-rag/0-downloaded-files/2-boituva/portarias/2014/08 - Agosto/Ago_Port_3719_Prorroga o tempo de trabalho da Comissão do Desfazimento de Bens_BTV.pdf,1
/content/ia024-projeto-rag/0-downloaded-files/2-boituva/portarias/2014/10 - Outubro/Out_Port_0002_Substituição do período de férias CTI_BTV.pdf,1
/content/ia024-projeto-rag/0-downloaded-files/2-boituva/portarias/2014/10 - Outubro/Out_Port_5319_Fiscalização_Fiscais para o contrato jardinagem e regovar a portaria 2929 de out de 2011_BTV.pdf,1
/content/ia024-projeto-rag/0-downloaded-files/2-boituva/portarias/2014/10 - Outubro/Out-Port_5632_Comissão de análise de incentivo a participação discente no Congresso de Extensão_BTV.pdf,1
/content/ia024-projeto-rag/0-downloaded-files/2-boituva/portarias/2014/10 - Outubro/Out_Port_5557_Fiscalização_Fiscais para o contrato instalação de cortinas_BTV.pdf,1
/content/ia024-projeto-rag/0-downloaded-files/2-boituva/portarias/2014/10 - Outubro/Out_Port_5318_Fiscalização_Fiscais para o contrato manutenção predial_BTV.pdf,1
/content/ia024-projeto-rag/0-downloaded-files/2-boituva/portarias/2014/10 - Outubro/Out_Port_5359_Revoga a portaria 1024 da comissão do PPP _BTV.pdf,1
/content/ia024-projeto-rag/0-downloaded-files/2-boituva/portarias/2014/10 - Outubro/Out_Port_0001_Inclusão Servidor no NAPNE_BTV.pdf,1
/content/ia024-projeto-rag/0-downloaded-files/2-boituva/portarias/2014/04 - Abril/Abr_Port_1462_Comissão Eleitoral do Conselho de Campus_BTV.pdf,9
/content/ia024-projeto-rag/0-downloaded-files/2-boituva/portarias/2014/04 - Abril/Abr_Port_1495_Fiscalização_Fiscais para o contrato de vigilância_BTV.pdf,1
